video_id,creator,vertical,intended_label,url,label,views_at_24h,views_at_7d,views_at_30d,post_timestamp,caption,hashtags,music_id,duration,creator_followers_at_post,creator_avg_views_trailing_30d
7633144286996974870,ai_glitch0,brainrot,viral,https://www.tiktok.com/@ai_glitch0/video/7633144286996974870,viral,,,46400000,2026-04-26T19:11:46.000Z,Tung and Patapim's evil plan#italianbrainrot #aistory #aiart #brainrot #tungtungtungsahur #tralalerotralala #brbrpatapim,"italianbrainrot,aistory,aiart,brainrot,tungtungtungsahur,tralalerotralala,brbrpatapim",7446268881553737744,61,143600,4651746.7
7635267660724325639,mrsahuur,brainrot,viral,https://www.tiktok.com/@mrsahuur/video/7635267660724325639,mid,,,325500,2026-05-02T12:18:08.000Z,BRAINROT BUSINESSMAN💸 #trending #ai #brainrot #kids #italianbrainrot,"trending,ai,brainrot,kids,italianbrainrot",7635267701048429319,15,109300,
7615769084747156749,brhealt,brainrot,viral,https://www.tiktok.com/@brhealt/video/7615769084747156749,viral,,,40900000,2026-03-10T23:14:08.000Z,#sadstory #brainrot #foodstory,"sadstory,brainrot,foodstory",7615769152120179470,62,318800,2875620.0
7634305506642906401,sunnycartoon01,brainrot,viral,https://www.tiktok.com/@sunnycartoon01/video/7634305506642906401,mid,,,968100,2026-04-29T22:04:33.000Z,Part 1 #brainrot #sadstory #aianimation #foodstory #emotionalstory 67 fruitstory,"brainrot,sadstory,aianimation,foodstory,emotionalstory",7634305531267631905,110,92000,
7616012099432647950,brainrot.stories12,brainrot,viral,https://www.tiktok.com/@brainrot.stories12/video/7616012099432647950,viral,,,108600000,2026-03-11T14:56:46.000Z,Tung tungs get lucky #italianbrainrot #tungtungtungsahur #tralalerotralala,"italianbrainrot,tungtungtungsahur,tralalerotralala",7616012037205887758,61,1200000,5160320.0
7635777258237529366,sir.mew7,brainrot,not_viral,https://www.tiktok.com/@sir.mew7/video/7635777258237529366,dud,,,325,2026-05-03T21:15:41.000Z,Send this to that one person 😒. @Cantina #brainrot #madewithcantina #brainrotmeme #memestiktok #unhinged,"brainrot,madewithcantina,brainrotmeme,memestiktok,unhinged",6817208513685620738,19,10,
7634607467338452238,sharkquest,brainrot,not_viral,https://www.tiktok.com/@sharkquest/video/7634607467338452238,dud,,,10500,2026-04-30T17:36:53.000Z,Why are you so sus? #cursed #shark #brainrot #unhinged #madewithcantina,"cursed,shark,brainrot,unhinged,madewithcantina",6817208513685620738,19,36000,
7635485761164414222,eden.lg1,brainrot,not_viral,https://www.tiktok.com/@eden.lg1/video/7635485761164414222,dud,,,1143,2026-05-03T02:24:47.000Z,b-b-ut it’s alright #Meme #brainrot #fypシ #fyp #viral,"meme,brainrot,fypシ,fyp,viral",7633178943700339476,9,240,
7635385732302933278,bob.beer89,brainrot,not_viral,https://www.tiktok.com/@bob.beer89/video/7635385732302933278,dud,,,2528,2026-05-02T19:56:32.000Z,DO'H TW NOT MINE  #funny #ai #Memes #brainrot,"funny,ai,memes,brainrot",7635385727001430815,14,12,723.8
7628057181409086733,notyourdailyposttoday,brainrot,not_viral,https://www.tiktok.com/@notyourdailyposttoday/video/7628057181409086733,dud,,,1713,2026-04-13T01:58:07.000Z,The audio>>>>#fyp #brainrot #trending,"fyp,brainrot,trending",7605615470113540872,5,5159,
7473614410318269742,samaraispinkk,grwm,viral,https://www.tiktok.com/@samaraispinkk/video/7473614410318269742,viral,,,57200000,2025-02-20T21:21:30.000Z,Pinkalicious #samara #grwm #grwmroutine #grwmmakeup #grwmforschool,"samara,grwm,grwmroutine,grwmmakeup,grwmforschool",7473614490501565230,370,6100000,
7398659936827362603,only1aliya,grwm,viral,https://www.tiktok.com/@only1aliya/video/7398659936827362603,viral,,,31300000,2024-08-02T21:39:24.000Z,first day of school grwm!!! #grwm #firstday #school #fypシ゚viral #xyzabc,"grwm,firstday,school,fypシ゚viral,xyzabc",6686826044529363718,163,2300000,
7431527117202099502,elm0zwrld,grwm,viral,https://www.tiktok.com/@elm0zwrld/video/7431527117202099502,viral,,,11600000,2024-10-30T11:20:52.000Z,didnt have the energy this morning. #xybca #fyp #xybca #grwm #makeup #outfit #d1hater,"xybca,fyp,xybca,grwm,makeup,outfit,d1hater",7431527013199973162,64,4200000,
7634177048994483477,katiefanggg,grwm,viral,https://www.tiktok.com/@katiefanggg/video/7634177048994483477,viral,,,3000000,2026-04-29T13:46:01.000Z,Grwm,,7634177143292185362,246,6600000,
7604213016212835606,fleur.varley,grwm,not_viral,https://www.tiktok.com/@fleur.varley/video/7604213016212835606,dud,,,20900,2026-02-07T19:50:16.000Z,Get ready with me 🌸#grwm #makeup #foruyou 💋💄,"grwm,makeup,foruyou",7561463619176810512,59,1079,
7606080334396132630,honeyj.banks,grwm,not_viral,https://www.tiktok.com/@honeyj.banks/video/7606080334396132630,dud,,,9563,2026-02-12T20:36:23.000Z,Grwm!🫶🏽#cleangirl #getreadywithme #realatble #top #vlog,"cleangirl,getreadywithme,realatble,top,vlog",6767526946596194306,17,1365,
7531689700885564695,cadyslifex,grwm,not_viral,https://www.tiktok.com/@cadyslifex/video/7531689700885564695,dud,,,8031,2025-07-27T09:22:46.000Z,Let me know guys if you want more 💗 #girlssupportgirls #fyp #getreadywithme #grwm #foryou,"girlssupportgirls,fyp,getreadywithme,grwm,foryou",7531689931829136150,511,1004,4013.1
7635792952333290765,that0neariesgirl,grwm,not_viral,https://www.tiktok.com/@that0neariesgirl/video/7635792952333290765,dud,,,371,2026-05-03T22:16:55.000Z,Grwm except it’s not really a grwm 🧍‍♀️#fyp,fyp,7572110592618530817,380,5472,
7597289693356510494,your_bestie_vellz,grwm,not_viral,https://www.tiktok.com/@your_bestie_vellz/video/7597289693356510494,dud,,,808,2026-01-20T04:04:26.000Z,Gurwm! Sorry I didn’t talk in this one I would normally but it was pretty late and I didn’t want my family waking up.💕💕#influencer #gurwm #tryingtobecomeacontentcreator #contentcreator #grwm,"influencer,gurwm,tryingtobecomeacontentcreator,contentcreator,grwm",7271706549603862529,56,67,
7557191926450097438,swag.oji,nature,viral,https://www.tiktok.com/@swag.oji/video/7557191926450097438,viral,,,2900000,2025-10-04T02:44:37.000Z,i need to travel again.. #nature #views #outdoors #fypシ゚viral,"nature,views,outdoors,fypシ゚viral",7534908657391601665,25,2056,
7505856994285210911,starm0oon,nature,viral,https://www.tiktok.com/@starm0oon/video/7505856994285210911,viral,,,12200000,2025-05-18T18:38:57.000Z,More footage of deer #fyp #nature #deer,"fyp,nature,deer",7420966069961231150,19,14900,
7562469246391946510,aj130324,nature,viral,https://www.tiktok.com/@aj130324/video/7562469246391946510,viral,,,6600000,2025-10-18T08:05:18.000Z,#nature #ocean #life #caifornia,"nature,ocean,life,caifornia",6767541102724532225,15,3736,738515.6
7519635243637198111,reedmakesvideos,nature,viral,https://www.tiktok.com/@reedmakesvideos/video/7519635243637198111,mid,,,654800,2025-06-24T21:45:25.000Z,glacier   #glacier #glaciernationalpark #goingtothesunroad,"glacier,glaciernationalpark,goingtothesunroad",7348601116597323777,25,30500,
7614887630026689814,karlfreg,nature,viral,https://www.tiktok.com/@karlfreg/video/7614887630026689814,mid,,,379400,2026-03-08T14:13:12.000Z,Tetons in the morning   #grandtetons #tetons #wyoming #nationalpark #mountains,"grandtetons,tetons,wyoming,nationalpark,mountains",7449219584295848750,10,10700,
7446879394087308576,isobelslater,nature,not_viral,https://www.tiktok.com/@isobelslater/video/7446879394087308576,dud,,,4290,2024-12-10T20:15:31.000Z,southeast asia nature without a trending audio 🫶🏻,,7446884574787341088,16,3688,
7623324047660567828,shsoph1,nature,not_viral,https://www.tiktok.com/@shsoph1/video/7623324047660567828,dud,,,1468,2026-03-31T07:50:56.000Z,nature without trending audio #fyp,fyp,7623324097191381768,12,1,
7555599542071217439,littytittii,nature,not_viral,https://www.tiktok.com/@littytittii/video/7555599542071217439,dud,,,1063,2025-09-29T19:45:15.000Z,just nature and vibes 🌿⛲️ #slovakia #trending #fypシ,"slovakia,trending,fypシ",7555599484869200670,23,230,
7631052169101298957,mfin305,nature,not_viral,https://www.tiktok.com/@mfin305/video/7631052169101298957,dud,,,41,2026-04-21T03:40:18.000Z,"Inadvertently mostly posting nature videos 🫣 with views like these, who can help it? #hiking #forest #waterfalls","hiking,forest,waterfalls",7260566693158782978,22,53,
7599945491740249352,notso_brights,nature,not_viral,https://www.tiktok.com/@notso_brights/video/7599945491740249352,dud,,,591,2026-01-27T07:50:06.000Z,Repost from awhile back,,7385964729048517419,6,556,
7605381802819177758,hoopeclipse,sports,viral,https://www.tiktok.com/@hoopeclipse/video/7605381802819177758,viral,,,4200000,2026-02-10T23:25:54.000Z,Lamelo’s passes are insane #nba #nbahighlights #hoops #basketball,"nba,nbahighlights,hoops,basketball",7481727897250876206,64,16500,
7630471942499306774,foot_cartel,sports,viral,https://www.tiktok.com/@foot_cartel/video/7630471942499306774,viral,,,13900000,2026-04-19T14:08:19.000Z,Real Madrid vs Paris Saint-Germain - UCL 2022 | 3-1 | #realmadrid #football #psg #highlights #foryou,"realmadrid,football,psg,highlights,foryou",7629250658969094929,337,364000,
7592386378801876254,alloutsports_,sports,viral,https://www.tiktok.com/@alloutsports_/video/7592386378801876254,mid,,,716600,2026-01-06T22:57:03.000Z,Who had the best play?#football #nfl #sports #fyp #highlights,"football,nfl,sports,fyp,highlights",7489905355829365526,68,36300,152285.3
7592249534432972087,5461ec3b,sports,viral,https://www.tiktok.com/@5461ec3b/video/7592249534432972087,mid,,,99600,2026-01-06T14:06:47.000Z,Kyrie Irving basketball highlights 🔥🔥#kyrielrving #cavalier #NBA #fyp #basketball,"kyrielrving,cavalier,nba,fyp,basketball",6705004477235070977,60,23400,34209.2
7618354753449381142,foot_cartel,sports,viral,https://www.tiktok.com/@foot_cartel/video/7618354753449381142,viral,,,5300000,2026-03-17T22:27:27.000Z,Sporting vs FK Bodø/Glimt | 5-0 | #sporting #football #bodoglimt #highlight #foryou,"sporting,football,bodoglimt,highlight,foryou",7618354940201945878,339,364000,
7462523643025755422,radrock_072,sports,not_viral,https://www.tiktok.com/@radrock_072/video/7462523643025755422,dud,,,965,2025-01-22T00:03:29.000Z,#CapCut #tiktok #fyp #viral #notviralyet #NBA #basketball #highlights #sports,"capcut,tiktok,fyp,viral,notviralyet,nba,basketball,highlights,sports",7366723387275102224,55,12,
7564022357904362766,konstantine.bisbi,sports,not_viral,https://www.tiktok.com/@konstantine.bisbi/video/7564022357904362766,dud,,,1069,2025-10-22T12:30:07.000Z,"Witness the most amazing athletic moments in NFL history! This Football Films highlight reel features jaw-dropping catches, elusive runs, and hard-hitting tackles. 𝗙𝗮𝗶𝗿 𝗨𝘀𝗲 𝗗𝗶𝘀𝗰𝗹𝗮𝗶𝗺𝗲𝗿  This video is intended for educational and transformative purposes under the Fair Use Doctrine (17 U.S.C. §107). It includes original commentary, critique, and a meaningful revision, adding value beyond the original content. .  #nfl #NFL","nfl,nfl",7564022351986248461,65,5041,
7635770013005237534,sportsculturetok,sports,not_viral,https://www.tiktok.com/@sportsculturetok/video/7635770013005237534,dud,,,1034,2026-05-03T20:47:47.000Z,"It’s honestly wild to think that LeBron James has stretched his career across so many eras that he’s literally sharing the court with players on the Houston Rockets who weren’t even born when he first stepped into the league in 2003, and somehow he’s still out there controlling the game like he’s in his prime, reading defenses before they even form, bullying younger, fresher legs with grown-man strength, and reminding everyone that experience, IQ, and skill can outweigh youth every single time; it’s like these guys grew up watching him as a legend, maybe even studying his highlights, and now they’re trying to guard him while he’s still dropping buckets on them, dictating pace, and leading his team to wins, which just adds another layer to his legacy because it’s not just longevity anymore, it’s dominance across generations, beating players from an entirely different age group who came into the world after his journey had already begun.  Follow US (@sportsculturetok) to stay tapped in if you love sports 🔥",,7635770051065629470,60,156,
7620876107037805844,viralsportv1,sports,not_viral,https://www.tiktok.com/@viralsportv1/video/7620876107037805844,dud,,,1775,2026-03-24T17:31:40.000Z,#fyp,fyp,7620876164340468501,23,4,
7630782922005466382,pur16369k1,sports,not_viral,https://www.tiktok.com/@pur16369k1/video/7630782922005466382,dud,,,154,2026-04-20T10:16:40.000Z,Unbelievable Sports Moments You Missed #sportslife #athletics #viralsports #sportsday #sportshighlights,"sportslife,athletics,viralsports,sportsday,sportshighlights",7630783314105731853,75,7597,
7606219456557239583,divine63631,funny,viral,https://www.tiktok.com/@divine63631/video/7606219456557239583,viral,,,8400000,2026-02-13T05:36:27.000Z,IM SORRY TO ALL FRENCH PPL OUT THERE I DID U GUYS SO DIRTY 🥀 My stomach hurts so bad from how much I laughed at this NEW TREND IDEA THO?  Swag #fyp #viral #xyzbca #funny #humor,"fyp,viral,xyzbca,funny,humor",6997838557607888898,56,8821,
7629881326199475469,sae.itoshit,funny,viral,https://www.tiktok.com/@sae.itoshit/video/7629881326199475469,viral,,,4400000,2026-04-17T23:56:52.000Z,no hate to the girl this was the funniest shit of my life #middleschooldance #dancecircle #funny #fyp #middleschool,"middleschooldance,dancecircle,funny,fyp,middleschool",7629881430726314766,12,1228,
7588315891822071095,grandmaisgone,funny,viral,https://www.tiktok.com/@grandmaisgone/video/7588315891822071095,viral,,,33700000,2025-12-26T23:41:36.000Z,guys she is in the hospital i think she’s okay idk tho #singer #relatable #funny #fyp #grandma,"singer,relatable,funny,fyp,grandma",6839371159377545218,20,11700,
7635068039649660190,user67235684,funny,viral,https://www.tiktok.com/@user67235684/video/7635068039649660190,viral,,,2500000,2026-05-01T23:23:45.000Z,OG Vid ig #funny #og #fyp #fyp,"funny,og,fyp,fyp",7596580797597518622,10,518,
7592554237717007647,funnypets520o,funny,viral,https://www.tiktok.com/@funnypets520o/video/7592554237717007647,viral,,,16700000,2026-01-07T09:48:29.000Z,Funny child attitude 🤣🤣🤣#funny #baby #attitude #kids #funnybaby #cutebaby #babyfever #funnyvideos #babiesoftiktok #foryou #usa🇺🇸,"funny,baby,attitude,kids,funnybaby,cutebaby,babyfever,funnyvideos,babiesoftiktok,foryou,usa🇺🇸",7592554039922019102,69,1200000,
7635751990999387405,funnyyahea.usa2,funny,not_viral,https://www.tiktok.com/@funnyyahea.usa2/video/7635751990999387405,dud,,,2367,2026-05-03T19:37:54.000Z,Funny prank and funny Moments Fun with yahia 🤣   #funny #funnyvideo #funnyyahea #fyp,"funny,funnyvideo,funnyyahea,fyp",7635752060973615886,66,427200,
7635746652334165279,funnyuk61,funny,not_viral,https://www.tiktok.com/@funnyuk61/video/7635746652334165279,dud,,,624,2026-05-03T19:17:07.000Z,#funny #humor #relatable #fyp #meme #comedy #funnymoment #funnyclips #tiktokhumor #contenttips #tiktokgrowth #petlove #dogfunny #wyd #viralshorts #tiktoktrend #funnypranks #prankideas #tiktoktips #trending #contenthack #foryou #shorts #viralhacks #funnyvideos #comedyclips #relatablehumor #funtok #laughoutloud #tiktokfun #funnyreaction #reactionvideo #kidspranks #funnychildren,"funny,humor,relatable,fyp,meme,comedy,funnymoment,funnyclips,tiktokhumor,contenttips,tiktokgrowth,petlove,dogfunny,wyd,viralshorts,tiktoktrend,funnypranks,prankideas,tiktoktips,trending,contenthack,foryou,shorts,viralhacks,funnyvideos,comedyclips,relatablehumor,funtok,laughoutloud,tiktokfun,funnyreaction,reactionvideo,kidspranks,funnychildren",7635746687055825694,10,5278,
7635706768554741023,fv77746,funny,not_viral,https://www.tiktok.com/@fv77746/video/7635706768554741023,dud,,,3422,2026-05-03T16:42:21.000Z,#funny #funnyvideo #comedy #comedyvideo,"funny,funnyvideo,comedy,comedyvideo",7635706772258392862,7,267200,
7635694779929611533,falcogaze,funny,not_viral,https://www.tiktok.com/@falcogaze/video/7635694779929611533,dud,,,2404,2026-05-03T15:56:11.000Z,Funny videos#funny #funnyvideo #birthday #prank,"funny,funnyvideo,birthday,prank",6771810675950880769,69,143100,
7558745499927350550,scrollbacktt,funny,not_viral,https://www.tiktok.com/@scrollbacktt/video/7558745499927350550,dud,,,3552,2025-10-08T07:13:04.000Z,its wednesday my dudes #fyp #viral #vine #funnyvideos #restoringyourfyp,"fyp,viral,vine,funnyvideos,restoringyourfyp",7558745477735287554,36,1644,
7622414760453197063,emiliaaeedits,romcom_edits,viral,https://www.tiktok.com/@emiliaaeedits/video/7622414760453197063,viral,,,7500000,2026-03-28T21:02:20.000Z,fav movie. || #10thingsihateaboutyou #edit #viral #foryoupage #fyp,"10thingsihateaboutyou,edit,viral,foryoupage,fyp",7622414815952341780,30,3742,
7626807895895608593,editsxseriesd,romcom_edits,viral,https://www.tiktok.com/@editsxseriesd/video/7626807895895608593,viral,,,1400000,2026-04-09T17:10:28.000Z,best romcom to ever exist #howtoloseaguyin10days #howtoloseaguyin10daysedit #romcom #edit,"howtoloseaguyin10days,howtoloseaguyin10daysedit,romcom,edit",7354423336196933649,30,173000,
7634952421554408718,.eeclipwze,romcom_edits,viral,https://www.tiktok.com/@.eeclipwze/video/7634952421554408718,viral,,,1300000,2026-05-01T15:55:28.000Z,little women is lowkenuinely one of my favorite movies ever | #fyp #littlewomen2019 #littlewomenedit #jomarch #laurielaurence,"fyp,littlewomen2019,littlewomenedit,jomarch,laurielaurence",7634952518140807949,32,2729,71181.6
7618629140152880391,nmsaep,romcom_edits,viral,https://www.tiktok.com/@nmsaep/video/7618629140152880391,viral,,,2100000,2026-03-18T16:12:17.000Z,#BONRAD || my d1 yearner | vsdt: @holly⋆˚࿔ @darcey @neli ✮⋆˙ // #bonradedit #thesummeriturnedpretty #tsitp #conradandbelly,"bonrad,bonradedit,thesummeriturnedpretty,tsitp,conradandbelly",7215864771609201414,46,21400,
7631387106903969027,winche3ter,romcom_edits,viral,https://www.tiktok.com/@winche3ter/video/7631387106903969027,mid,,,526400,2026-04-22T01:19:47.000Z,The best romcom oat 😪 #edit #fyp #27dresses #movieedit #viral,"edit,fyp,27dresses,movieedit,viral",7631387000959994646,26,3038,
7635796429209947422,jaemochiii,romcom_edits,not_viral,https://www.tiktok.com/@jaemochiii/video/7635796429209947422,dud,,,446,2026-05-03T22:30:15.000Z,best rom com i fear #27dresses #27dressesedit #romcom #romcomedit #fyp,"27dresses,27dressesedit,romcom,romcomedit,fyp",7635796452454796062,34,8621,
7635805880746839309,kokayxvx,romcom_edits,not_viral,https://www.tiktok.com/@kokayxvx/video/7635805880746839309,dud,,,1076,2026-05-03T23:07:09.000Z,#mebeforeyou #edit #movie #romcom #fyp,"mebeforeyou,edit,movie,romcom,fyp",7635805979652737806,20,702,
7537780432264285471,thynrz,romcom_edits,not_viral,https://www.tiktok.com/@thynrz/video/7537780432264285471,dud,,,1489,2025-08-12T19:18:08.000Z,#romcom #couple #love #aesthetic #edit,"romcom,couple,love,aesthetic,edit",7380210550413789982,12,8,
7557886384757869837,lyrivie,romcom_edits,not_viral,https://www.tiktok.com/@lyrivie/video/7557886384757869837,dud,,,3736,2025-10-05T23:39:45.000Z,i just love rom-coms #romance #movie #fyp #romcom #edit,"romance,movie,fyp,romcom,edit",7557886492257913655,26,1273,
7625103192178576660,dancingwiththeswifties,romcom_edits,not_viral,https://www.tiktok.com/@dancingwiththeswifties/video/7625103192178576660,dud,,,1762,2026-04-05T02:54:54.000Z,All time favorite romcom couple no one can ever top them#10thingsihataboutyou #10thingsihateaboutyouedit #romcom #viraledit #edit,"10thingsihataboutyou,10thingsihateaboutyouedit,romcom,viraledit,edit",7569036664648715021,27,1088,236406.3
7615373651390631199,lyric_hermanson,motivation,viral,https://www.tiktok.com/@lyric_hermanson/video/7615373651390631199,viral,,,3200000,2026-03-09T21:39:31.000Z,Stay in line. #core #real #hope #motivation #godbless,"core,real,hope,motivation,godbless",7543829555958582047,71,577000,
7634674913193823519,philosophizzyebelle,motivation,viral,https://www.tiktok.com/@philosophizzyebelle/video/7634674913193823519,mid,,,279700,2026-04-30T21:58:13.000Z,Do it mindset > victim mindset any day. You will never grow if you think everything BUT YOURSELF is the problem xx #motivation #harshmotivation #mindset,"motivation,harshmotivation,mindset",7101836998435932161,75,153100,
7628639812731342110,hadley.214,motivation,viral,https://www.tiktok.com/@hadley.214/video/7628639812731342110,viral,,,1200000,2026-04-14T15:39:17.000Z,it really is just you vs you. #fyp #gymmotivation #cardio #motivation #gym,"fyp,gymmotivation,cardio,motivation,gym",7222996376736238341,11,15500,
7551479096908320055,lenalifts,motivation,viral,https://www.tiktok.com/@lenalifts/video/7551479096908320055,viral,,,2400000,2025-09-18T17:15:54.000Z,your reminder to LOCK IN. ✨ #motivation #doomscrolling #girladvice,"motivation,doomscrolling,girladvice",7551479090940480311,70,373000,
7555925156586081558,growthofwisdom,motivation,viral,https://www.tiktok.com/@growthofwisdom/video/7555925156586081558,viral,,,7200000,2025-09-30T16:48:41.000Z,Lock in. • Get +300 viral clips in my bio. • @Damii  • #motivational #inspirational #selfimprovement #success #hopecore #algorithm,"motivational,inspirational,selfimprovement,success,hopecore,algorithm",7555925175109536534,46,636100,
7583478396412529922,self.mindshift,motivation,not_viral,https://www.tiktok.com/@self.mindshift/video/7583478396412529922,dud,,,3668,2025-12-13T22:49:24.000Z,"You get successful when you stop depending on motivation, mood, or expectations - and just do the work. #mindset #discipline #workout #motivation #transformation","mindset,discipline,workout,motivation,transformation",7583308948900498198,70,30000,
7626029164184866061,clixrush,motivation,not_viral,https://www.tiktok.com/@clixrush/video/7626029164184866061,dud,,,1240,2026-04-07T14:48:15.000Z,This video will change your life #inspiration #motivation #quotes #viral #fyp #foryoupage,"inspiration,motivation,quotes,viral,fyp,foryoupage",7626029204790512398,157,99200,15913.3
7265188749393415470,quotes.growth.mindset,motivation,not_viral,https://www.tiktok.com/@quotes.growth.mindset/video/7265188749393415470,dud,,,2218,2023-08-09T05:23:16.000Z,Watch this video to keep yourself motivated #wisdom #learnontiktok #discipline #viral #motivation #quotes,"wisdom,learnontiktok,discipline,viral,motivation,quotes",7265188783346273066,48,41,
7582763696837922070,thedailyrise.capcut,motivation,not_viral,https://www.tiktok.com/@thedailyrise.capcut/video/7582763696837922070,dud,,,27000,2025-12-12T00:36:15.000Z,This is the mindset of a king...🔥@𝗖𝗮𝗽𝗖𝘂𝘁 #quotes #motivation #motivationtok  #mindsetmotivation #CapCut,"quotes,motivation,motivationtok,mindsetmotivation,capcut",7582763714554645270,15,1100000,
7282385892596059434,motivationforyou164,motivation,not_viral,https://www.tiktok.com/@motivationforyou164/video/7282385892596059434,dud,,,1598,2023-09-24T13:36:53.000Z,"No Excuses ! You will win, Just Watch.  #motivacion #discipline #success #dedication #quote #mindset #mentality #speech","motivacion,discipline,success,dedication,quote,mindset,mentality,speech",6817673527957653506,172,15,
